Apps package name,Review,Polarity
155,Norton Genie,read message hear say norton genie best thing ever created service awesome exactly designed,0.8834
156,Norton Genie,"sanoj two thousand , two hundred thirty-five",0.0
157,Norton Genie,cant help everything help,-0.5448
158,Norton Genie,efficient,0.4215
159,Norton Genie,great app,0.6249
160,Norton Genie,love genie,0.6369
161,Norton Genie,akshay kumar,0.0
162,Norton Genie,im enjoying right six minute use,0.5267
163,Norton Genie,really good app,0.4927
164,Norton Genie,ok,0.296
165,Norton Genie,great concept though could use training catch repetitive scam quickly without additional question particularly discord scam steal account could also use training recognize gov site hirepay people bring scam screenshots various social medium improve recognition,-0.9159
166,Norton Genie,bad good,-0.1531
167,Norton Genie,submissive loved,0.3818
168,Norton Genie,good service,0.4404
169,Norton Genie,good apple good working important,0.765
170,Norton Genie,get app help ive got security block scam etc plus app thanks,0.1027
171,Norton Genie,ak khan,0.0
172,Norton Genie,get good one hundred good safe use scammer,0.8271
173,Norton Genie,wow really work,0.5859
174,Norton Genie,awesome,0.6249
175,Norton Genie,outstanding app wouldnt expect anything less quality superior brand nortons definitely recommend,0.9085
176,Norton Genie,thing many add,0.0
177,Norton Genie,app essential,0.0
178,Norton Genie,far great app say,0.6249
179,Norton Genie,dont anything apps,0.0
180,Norton Genie,nice,0.4215
181,Norton Genie,really like use doublecheck report im really tired scam job offer,-0.6573
182,Norton Genie,samaru chlan,0.0
183,Norton Genie,good app,0.4404
184,Norton Genie,tx answered upsidedown_face,0.3612
185,Norton Genie,making take dont use,0.0
186,Norton Genie,broken_heartbroken_heartbroken_heartbroken_heartbroken_heartbroken_heartbroken_heartbroken_heart,0.0
187,Norton Genie,best app ever,0.6369
188,Norton Genie,red_heartred_heart,0.0
189,Norton Genie,app new need custom,0.0
190,Norton Genie,true thing working,0.4215
191,Norton Genie,good,0.4404
192,Norton Genie,havent tried yet,0.0
193,Norton Genie,absolutely love app,0.6697
194,Norton Genie,nøt līkē møst spade_suit,0.0
195,Norton Genie,far im impressed smiling_face_with_smiling_eyes thanks,0.7184
196,Norton Genie,really helped scammed several promotion like cookware advertised several star,0.3612
197,Norton Genie,hi bb smiling_face_with_open_hands babbu v,0.0
198,Norton Genie,ok,0.296
199,Norton Genie,norton genie good,0.4404
200,Norton Genie,work,0.0
201,Norton Genie,wasnt good performance,-0.3412
202,Norton Genie,wonderful app,0.5719
203,Norton Genie,new update,0.0
204,Norton Genie,helpful id recommend anyone wanting peace mind,0.8316
205,Norton Genie,good time,0.4404
206,Norton Genie,hay screen lock tha phone,0.0
207,Norton Genie,order,0.0
208,Norton Genie,love hehe payed,0.6369
209,Norton Genie,far good,0.4404
210,Norton Genie,rahul saa seven,0.0
211,Norton Genie,want cast someone else,0.0772
212,Norton Genie,love norton scam officer although id like could talk rl topic give advice like meta bot like dear abby laneybabys,0.8625
213,Norton Genie,great app,0.6249
214,Norton Genie,ok,0.296
215,Norton Genie,accurate efficient,0.4215
216,Norton Genie,picture text,0.0
217,Norton Genie,scam going nowadays im happy norton genie keep safe,0.4404
218,Norton Genie,good app seems dodgy,0.25
219,Norton Genie,red_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heart,0.0
220,Norton Genie,nice,0.4215
221,Norton Genie,great app,0.6249
222,Norton Genie,like last time scanned facebook time,0.3612
223,Norton Genie,santosh bagiyal,0.0
224,Norton Genie,supar,0.0
225,Norton Genie,far look good,0.4404
226,Norton Genie,gold infrom,0.0
227,Norton Genie,faltu app,0.0
228,Norton Genie,good app,0.4404
229,Norton Genie,far good,0.4404
230,Norton Genie,pretty good time ive used,0.7269
231,Norton Genie,ive scammed past give piece mind,0.0
232,Norton Genie,शर ओपन द लक शर ओपन द लक,0.0
233,Norton Genie,nice secured app work told install work every app,0.6705
234,Norton Genie,mast ha,0.34
235,Norton Genie,good,0.4404
236,Norton Genie,thumbs_upok_handok_handok_hand,0.0
237,Norton Genie,im truly quite impressed app tbh grinning_face beaming_face_with_smiling_eyes smiling_face_with_open_hands much appreciate enjoying respectfully polite ai interaction wrapped_gift already love app much red_heart,0.9601
238,Norton Genie,never saw wasnt machine,0.0
239,Norton Genie,tell someone higher offer usa service man calling,0.0
240,Norton Genie,thanks everything,0.4404
241,Norton Genie,ok,0.296
242,Norton Genie,work good would recommend use web safety find lot scamers,0.802
