Apps package name,Review,Polarity
367,Norton Genie,right app broken tried scan multiple email ninety end didnt go expected word failed waste time flaky app,-0.1523809523809524
368,Norton Genie,belo,0.0
369,Norton Genie,installed,0.0
370,Norton Genie,yeah far found smashing scam mean smishing,-0.10625
371,Norton Genie,guess suitable app android user experience artificial intelligence whic provides good information certain time really goodfor give five star,0.21285714285714286
372,Norton Genie,best guide scam,1.0
373,Norton Genie,தமழ,0.0
374,Norton Genie,best,1.0
375,Norton Genie,armanjhojha rampur roorkee jila haridwar,0.0
376,Norton Genie,sagsa skta,0.0
377,Norton Genie,really work help see scam legit worth phone helpful,0.25
378,Norton Genie,vishalkmana,0.0
379,Norton Genie,like money,0.0
380,Norton Genie,sachin yadav ji,0.0
381,Norton Genie,look like check scam lol might fun,0.55
382,Norton Genie,helpful let know scammer would try pray people give five star thank looking hope yall take care,0.0
383,Norton Genie,work pretty well time tell used scan text message unknown cell number,0.075
384,Norton Genie,thanks guy love app,0.35
385,Norton Genie,first love app love idea think right track however noticed already scammer learned put text part top picture lot photo bottom scan tool scan photo detects scam could possibly scan whole image someone could guide ensure scan entire image including weblinks text fix,0.2794642857142857
386,Norton Genie,love,0.5
387,Norton Genie,started using app experience terrible cant recommend sleepy_face,-1.0
388,Norton Genie,goog,0.0
389,Norton Genie,helpful tool today world scam fraud ai bot,0.0
390,Norton Genie,super helpful new app job right,0.25180375180375175
391,Norton Genie,power al adidas,0.0
392,Norton Genie,really love app get immediate relief contacting norton gene soon receive strange text get fast result comforting,0.21666666666666667
393,Norton Genie,love,0.5
394,Norton Genie,far norton genie helped identify scammer,0.1
395,Norton Genie,thank team norton,0.0
396,Norton Genie,cantpay,0.0
397,Norton Genie,helpful app,0.0
398,Norton Genie,kiran dalui,0.0
399,Norton Genie,typical ai scanner help mobile application,-0.16666666666666666
400,Norton Genie,picked scam opened enjoy extra help genie,0.2
401,Norton Genie,saved spending money weird website wail surching e bike,-0.5
402,Norton Genie,security everyone awesome trusting meas everything,1.0
403,Norton Genie,norton genie great,0.8
404,Norton Genie,excellent app evetyone take advantage amazing app literally save much heartache money identifying scam,0.6
405,Norton Genie,fast helpful reliable service thumbs_up recommended,0.2
406,Norton Genie,app absolutely amazing definitely life promise,0.30000000000000004
407,Norton Genie,im new learning,0.13636363636363635
408,Norton Genie,free version,0.4
409,Norton Genie,mukesh kumat,0.0
410,Norton Genie,good,0.7
411,Norton Genie,upload screenshot paste text,0.0
412,Norton Genie,yes review public include account device information,0.0
413,Norton Genie,everyone need phone,0.0
414,Norton Genie,easy work far good,0.41111111111111115
415,Norton Genie,far pretty impressive handy,0.48750000000000004
416,Norton Genie,seems claim far,0.1
417,Norton Genie,getting started one seems right target amazing good thing norton really good amazing there ad anything asking free trial thank everyone thanks norton thank google google team,0.4979591836734694
418,Norton Genie,work,0.0
419,Norton Genie,find scam prior opening link,0.0
